name,functions,color,precision,company,productURL,photoURL,favorite,rating,notes,status,oversampling
FRANK,,,,Analog Obsession,https://www.patreon.com/posts/frank-65955720,https://c10.patreonusercontent.com/4/patreon-media/p/post/65955720/394be6a13fda4fae8c978eeb6e69f7fd/eyJ3Ijo2MjB9/1.png?token-time=1657756800&token-hash=ovCwrwNXT4yQUbjUVauWtwYq_8EUclReXoZYhalkKk0%3D,FALSE,3,"Ultimate analog equalizer is now better than ever!

Selected best frequencies from 4 different well-known modules and now with custom line amp and proper oversampling. 

FEATURES

- H-Type Low Cut @50Hz

- P-Type Boost/Atten @60Hz

- A-Type Mid Band @1.6kHz

- N-Type High Shelf @12kHz

- P-Type High Atten @20kHz

- Custom Line Amp with compensated gain

- Oversampling (ANALOG OBSESSION label)",active,TRUE
RS-W2395C,,,,Fuse Audio,https://fuseaudiolabs.com/#/pages/product?id=300965965,https://mycommerce.akamaized.net/api/pimages/P300965965/BIG/300965965.JPG,FALSE,3,"1950 MEETS 2019
The W2395c is a classic Baxandall EQ combined with a powerful and beautiful sounding mid band. As a solitary or complementary equalizer with that special something, its particular tone and slightly interactive bands let your tracks stand out big time. In close cooperation with its creator, analog mastermind Roger Schult, we are delighted to offer this amazing plugin completely for free.",active,FALSE
VREV-666,,,,Fuse Audio,https://fuseaudiolabs.com/#/pages/product?id=301009892,https://mycommerce.akamaized.net/api/pimages/P301009892/BIG/301009892.JPG,FALSE,3,"STEEL WIRE STYLE
The VREV-666 is an incredibly rare spring reverb from the 1960s that was initially designed to alter the apparent acoustic properties of listening environments. Originally built for the BBC, this compact studio legend oozes the typical rich, bouncy, and unpredictable vibe of a true electromechanical reverb in a very authentic way.

AMBIENCE WITH ATTITUDE
The VREV-666 is not the most realistic reverb in the world – and that’s the beauty of it. Sending any signal through its springs will always result in something vibrant and charismatic. It can add an edge to your vocals, dirty ambience to your synth, gritty room tone to your guitar and bass, or some cool finishing textures to your favorite instruments...you name it.",active,FALSE
Glitch,,,,SoundSpot,https://www.soundspot.audio/downloads/glitch-multi-fx-audio-plugin/,https://i.ytimg.com/vi/gx9nFZ9Q2vM/maxresdefault.jpg,TRUE,3,"Glitch is an fx plug-in that lets you bring rhythm and movement to your mixes, featuring a host-synced trance-gate and multi-tab delay, and the signature 'glitch' effect that rhythmically alters the playback speed of your track in real-time. This combination of effects lets you quickly create interesting vocal chops and modern syncopated beats, or transform any track into an almost unrecognisable rhythmic mix element, allowing for new and unexpected flavours. 

Features
Intuitive, easy-to-navigate user interface
Designed to work flawlessly with touch controllers such as the Raven by Slate Media
Host-synced trance-gate with continuous smoothing control
One-knob host-synced multi-tab delay
Host-synced signature 'glitch' effect
High pass and low pass filter
Additional one-knob drive
Smoothed bypass and input and output volume controls
Preset manager to save & share your own effects",active,TRUE
GOLD 4 COMP,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/gold,https://www.acustica-audio.com/system/akfp/file_entries/files/000/001/449/original/Gold4_Channelstrip_teasers_004.png?1597150683,TRUE,5,"GOLD4 (Channel-strip):
GOLD4 PRE (standalone preamps module)
GOLD4 EQ (Equalizer standalone module);
GOLD4 COMP (standalone compressor module);Gold 4 now includes an additional uber-rare EQ built in the '70s, the 8115, a three-band, semi-parametric equalizer with a high pass filter. The original unit is a vintage Class A/B Mic Pre-EQ with the same design, topology, and components as its illustrious big brother, the mighty 3081.

 

These modules were standard in small broadcast consoles, yet the version we sampled reveals more of a 'modern conception' behind it. It is a stereo unit (converted to mono for Gold 4) in immaculate condition, that was extremely hard to source, but worth every minute we spent sampling it.
",active,TRUE
GOLD 4 EQ,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/gold,https://www.acustica-audio.com/system/akfp/file_entries/files/000/001/449/original/Gold4_Channelstrip_teasers_004.png?1597150683,TRUE,5,"GOLD4 (Channel-strip):
GOLD4 PRE (standalone preamps module)
GOLD4 EQ (Equalizer standalone module);
GOLD4 COMP (standalone compressor module);Gold 4 now includes an additional uber-rare EQ built in the '70s, the 8115, a three-band, semi-parametric equalizer with a high pass filter. The original unit is a vintage Class A/B Mic Pre-EQ with the same design, topology, and components as its illustrious big brother, the mighty 3081.

 

These modules were standard in small broadcast consoles, yet the version we sampled reveals more of a 'modern conception' behind it. It is a stereo unit (converted to mono for Gold 4) in immaculate condition, that was extremely hard to source, but worth every minute we spent sampling it.",active,TRUE
GOLD 4 PRE,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/gold,https://www.acustica-audio.com/system/akfp/file_entries/files/000/001/449/original/Gold4_Channelstrip_teasers_004.png?1597150683,TRUE,5,"GOLD4 (Channel-strip):
GOLD4 PRE (standalone preamps module)
GOLD4 EQ (Equalizer standalone module);
GOLD4 COMP (standalone compressor module);Gold 4 now includes an additional uber-rare EQ built in the '70s, the 8115, a three-band, semi-parametric equalizer with a high pass filter. The original unit is a vintage Class A/B Mic Pre-EQ with the same design, topology, and components as its illustrious big brother, the mighty 3081.

 

These modules were standard in small broadcast consoles, yet the version we sampled reveals more of a 'modern conception' behind it. It is a stereo unit (converted to mono for Gold 4) in immaculate condition, that was extremely hard to source, but worth every minute we spent sampling it.",active,TRUE
GOLD4,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/gold,https://www.acustica-audio.com/system/akfp/file_entries/files/000/001/449/original/Gold4_Channelstrip_teasers_004.png?1597150683,TRUE,5,"GOLD4 (Channel-strip):
GOLD4 PRE (standalone preamps module)
GOLD4 EQ (Equalizer standalone module);
GOLD4 COMP (standalone compressor module);Gold 4 now includes an additional uber-rare EQ built in the '70s, the 8115, a three-band, semi-parametric equalizer with a high pass filter. The original unit is a vintage Class A/B Mic Pre-EQ with the same design, topology, and components as its illustrious big brother, the mighty 3081.

 

These modules were standard in small broadcast consoles, yet the version we sampled reveals more of a 'modern conception' behind it. It is a stereo unit (converted to mono for Gold 4) in immaculate condition, that was extremely hard to source, but worth every minute we spent sampling it.",active,TRUE
Initial Reverse,,,,Initial Audio,https://initialaudio.com/product/reverse-plugin/,https://initialaudio.com/wp-content/uploads/2019/01/Reverse-Effect-Plugin.png,FALSE,3,"Reverse rewinds your mixes, instruments, vocals and effect channels with up to 4 bars of length. Playback everything reversed with this easy to use reverse plugin for windows and mac. In modern productions such as Hiphop, Trap and EDM reverse can be a very interesting effect for instrument patterns and arrangement purposes to spice up your productions.

The mix knob allows you to blend between the dry and wet signal.",active,FALSE
IVGI2,,,,Klanghelm,https://klanghelm.com/contents/products/IVGI.php,https://klanghelm.com/assets/img/IVGI/IVGI.jpg,TRUE,4,"IVGI can deliver very soft and subtle saturation, that feels at home
on the master buss. It is equally capable of very dense and dirty
distortion effects to spice up single tracks. IVGI's base sound is comparable to the DESK mode in the big brother SDRR.",active,TRUE
iZotope BreakTweaker,,,,Izotope,https://www.izotope.com/en/products/breaktweaker.html,https://www.izotope.com/en/products/breaktweaker/_jcr_content/root/flexcontainer/sectioncontainer_146/flexcontainer/teaser/image.coreimg.82.1280.jpeg/1643207302753/breaksteaker-side-by-sides-high-res-beat-editing.jpeg,FALSE,4,"An all-new approach to the classic drum machine
Make beats you've never heard before. Blend drum samples with robust synthesis features to generate compelling hybrid sounds and even melodies. Built on a futuristic MicroEdit Engine, BreakTweaker turns everything you know about rhythm on its head. Explore a new era of rhythmic possibilities with this forward-thinking and forward-sounding instrument!",active,FALSE
iZotope Iris 2,,,,Izotope,https://www.izotope.com/en/shop/iris-2.html,https://www.izotope.com/content/dam/izo/product-web-tour/iris/iris-2/pdp/iris-2-main-interface.png,FALSE,4,"Iris 2 is iZotope’s inspiring sample-based synthesizer with the power of a sampler, the flexibility of a traditional synth, and the fun of spectral filtering—or, select from hundreds of expertly crafted Bass, Keys, Leads, Pads, and Rhythmic patches.",active,TRUE
iZotope Trash 2,,,,Izotope,https://www.izotope.com/en/shop/trash-2.html,https://www.izotope.com/content/dam/izo/learn/2020/q2/4-ways-to-add-augment-or-excite-upper-harmonics/19-trash-2-vocal.png,TRUE,3,"Trash 2 offers dual distortion modules and a slew of multi-effects for creative, uninhibited music production and sound design. Chain two distortion algorithms in each frequency band for up to 8 different flavors of destruction. Choose from over 100 impulse responses with the Convolve module, explore new sonic dimensions with the Delay and Dynamics modules, or add movement to your audio using 2 Filters, each with 20+ evocative filter types to shape your tone.",active,FALSE
JAMP,,,,Analog Obsession,https://www.patreon.com/posts/jamp-34306450,https://c10.patreonusercontent.com/4/patreon-media/p/post/34306450/39908ce5d88d4175801ed4e01c18ab93/eyJ3Ijo2MjB9/1.png?token-time=1657756800&token-hash=3YHxAkX-38M9XgrEMR0D4iL6c8ZZle4ob33HAwgnVqI%3D,FALSE,3,"JTM45 guitar amp in a box!

31/7/2021 - v2.0 Update

- Improved DSP and circuit design

- Readout for knobs

- Redesigned GUI

- Catalina & Big Sur(Intel/M1) support",active,FALSE
JET,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/jetvolumea,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/201/original/nwImage20220622091503.png?1655882162,FALSE,3,"Jet is the ultimate, all-new, dynamic equalizer plugin suite. 1- Jet; A FREE player/plugin designed primarily for bus purposes.

2- Jet Mix; A FREE player/plugin designed primarily for mix purposes.

Jet and Jet Mix include three different eq models for the DYNAMIC EQ section by default.

1 sampled EQ, a set of selected LF and HF band frequencies derived from our renowned Eminence Acqua plugin. Frequencies:
 - LF: 20Hz, 40Hz, 80Hz, 160Hz.
 - HF: 7kHz, 10kHz, 15kHz, 20kHz.
 
2 algorithmic EQs with a set of selected LF and HF band frequencies called ‘DIGITAL SHELF’ and ‘DIGITAL SHELF HQ 2X’.
Frequencies:
 - LF: 20 Hz, 28 Hz, 40 Hz, 60 Hz, 80 Hz, 120 Hz, 170 Hz, 240 Hz, 350 Hz, 490 Hz, 700Hz.
 - HF: 700Hz, 960Hz, 1.32kHz, 1800, 2.5kHz, 3.5kHz, 4.75kHz, 6.5kHz, 9kHz, 12.5kHz, 17kHz.",active,FALSE
JETMIX,,,,Acoustica Audio,https://www.acustica-audio.com/store/products/jetvolumea,https://www.acustica-audio.com/system/akfp/file_entries/files/000/002/201/original/nwImage20220622091503.png?1655882162,FALSE,3,"""Jet is the ultimate, all-new, dynamic equalizer plugin suite. 1- Jet; A FREE player/plugin designed primarily for bus purposes.

2- Jet Mix; A FREE player/plugin designed primarily for mix purposes.

Jet and Jet Mix include three different eq models for the DYNAMIC EQ section by default.

1 sampled EQ, a set of selected LF and HF band frequencies derived from our renowned Eminence Acqua plugin. Frequencies:
 - LF: 20Hz, 40Hz, 80Hz, 160Hz.
 - HF: 7kHz, 10kHz, 15kHz, 20kHz.
 
2 algorithmic EQs with a set of selected LF and HF band frequencies called ‘DIGITAL SHELF’ and ‘DIGITAL SHELF HQ 2X’.
Frequencies:
 - LF: 20 Hz, 28 Hz, 40 Hz, 60 Hz, 80 Hz, 120 Hz, 170 Hz, 240 Hz, 350 Hz, 490 Hz, 700Hz.
 - HF: 700Hz, 960Hz, 1.32kHz, 1800, 2.5kHz, 3.5kHz, 4.75kHz, 6.5kHz, 9kHz, 12.5kHz, 17kHz.""",active,FALSE
JV-XP Editor-DUP.vst,,,,ctrlr,https://ctrlr.org/jv-xp-editor-for-roland-jv1080-jv2080-xp30-xp50-and-xp80-series-synthesizers/,http://ctrlr.org/wp-content/uploads/2018/03/JV-XP-Editor_2-768x534.png,FALSE,3,,active,FALSE
KABIN-new,,,,Analog Obsession,https://www.patreon.com/posts/kabin-43454405,https://c10.patreonusercontent.com/4/patreon-media/p/post/43454405/bb71e2fddd1f417d9b9f3fdc7da8429d/eyJ3Ijo2MjB9/1.png?token-time=1657843200&token-hash=94UCNRzlBHouHeFy295wMjYO2ccB4jQgv0bBZhOwavU%3D,FALSE,3,"KABIN is a universal guitar cabinet modeler.
You can create different spiker/cabinet models with SIZE and CHARACTER options and shape tone with microphone placement.

SIZE : You can set spiker and cabinet size and response with SIZE knob. Spiker/Cabinet size can be changed battery-powered guitar amp cab to 1_12. While your spiker size goes to smaller, cabinet size will go smaller, too.

CHARACTER : Will set character of spiker and cabinet. Soft to Punch. Soft will give smoother mid response (mostly low mid) and Punch will give fuller mid response. Not only frequency changes. Also, dynamic response.

MICROPHONE : There is a mic (Modeled Tube Mic) in front of cabinet. You can move it left to right. In default, it’s placed center. You can move mic to right to get off-axis placement.

OUTPUT : Will set main output. Inf to +12dB.

KABIN : It’s also bypass button. Red is active, white is bypassed.",active,FALSE
Knif Audio Knifonium,,,,Brainworx,https://www.plugin-alliance.com/en/products/knif_audio_knifonium.html,https://imgs.search.brave.com/hRHPxW8kOAyarO6u9QuPFzUirEyJNdv1mFejH9ZU04Q/rs:fit:660:375:1/g:ce/aHR0cHM6Ly93d3cu/YXR0YWNrbWFnYXpp/bmUuY29tL3dwLWNv/bnRlbnQvdXBsb2Fk/cy8yMDIwLzA4L1Nj/cmVlbi1TaG90LTIw/MjAtMDgtMDYtYXQt/MTUuNTIuMjMtNjYw/eDM3NS5wbmc,TRUE,5,,active,TRUE
Krush,,,,tritik,https://www.tritik.com/product/krush/,https://cdn.tritik.com/uploads/krush_v1.0.2_dark.png,FALSE,3,"With its bit crushing and downsampling algorithms, Krush combines the crispy taste of the digital realm with the warmth of its drive stage and analog modeled resonant filters. A modulation section allows you to quickly add extra life to the sound by modulating any parameter.

The sound palette produced by Krush ranges from the dirtiest digital effects to crunchy modulated colours, with all the classic and weirdest bit-crushing effects in between.",active,FALSE
LALA,,,,Analog Obsession,https://www.patreon.com/posts/lala-36128829,https://c10.patreonusercontent.com/4/patreon-media/p/post/36128829/17619d558304448aaf69e35344a72a5c/eyJ3Ijo2MjB9/1.jpg?token-time=1657843200&token-hash=NtbNa080OrPvmbTlmPwL4Kia4o3k4mwhdRqSBhLTtxU%3D,FALSE,3,"LALA update is ready to go with new features, improved DSP, alternative skins and more!

Features

- PEAK REDUCTION: Simply, it's threshold setting. Will set you compression level.

- GAIN: Make up gain

- LIMIT: When you engage, it will work as limiter. Otherwise, it will react as compressor.

- EXT: External side chain option. You will still be to use sidechain filter with external sidechain.

- HPF: Will cut low end.

- MF / MG: - Will set sensitivity of compressor for mid frequencies.

- HF - Will set sensitivity of compressor for high frequencies (Enhanced version of original unit's R37 setting)

- ANALOG OBSESSION LOGO: Oversampling. It will turn to red when oversampling is engaged. Also, show you a notification.

- POWER: Bypass button",active,TRUE
Lifeline Expanse,,,,Excite Audio,https://www.excite-audio.com/plugins/lifeline-expanse,https://imgs.search.brave.com/xHX-Gh259ZRTWyvZS-f5X0RKhToR0ksbqbevHIkcE_0/rs:fit:860:225:1/g:ce/aHR0cHM6Ly90c2U0/Lm1tLmJpbmcubmV0/L3RoP2lkPU9JUC5X/OVZud21MYzhoaGFn/UUE2X3JmUUtRSGFF/RiZwaWQ9QXBp,FALSE,3," Lifeline Expanse creates authenticity and realism by using intricate re-amping techniques. Re-amping is the process of taking an audio signal and playing it out in an environment. The signal is sent through amps, mics and effects to add colour, texture and depth, then re-recorded.

Lifeline Expanse distils this complex technique into a modern, sleek workflow that offers producers instant flexibility and control over every element. Rearrange the signal chain and delicately blend effects using each module's main controls or the more focused under-the-hood functions.",active,FALSE
Lindell 50 Buss,,,,Lindell Audio,https://www.plugin-alliance.com/en/products/lindell_50_series.html,https://img.miditalk.com/files/attach/images/2021/01/12/2c4136ed43bd904108d7c26df60c6632.jpg,TRUE,4,,active,FALSE
Lindell 50 Channel,,,,Lindell Audio,https://www.plugin-alliance.com/en/products/lindell_50_series.html,https://imgs.search.brave.com/zVvblJxOFjbFw-3ajFmpT4ow9PcON9qS86egsRzvh_8/rs:fit:1200:1200:1/g:ce/aHR0cHM6Ly9pMC53/cC5jb20vd3d3LmF1/ZGlvbXVzaWNhZGln/aXRhbC5jb20vd3At/Y29udGVudC91cGxv/YWRzLzIwMjEvMDEv/UGx1Z2luLUFsbGlh/bmNlX0xpbmRlbGwt/QXVkaW8tNTAtU2Vy/aWVzLmpwZz9maXQ9/MTkyMCUyQzE2MTIm/c3NsPTE,TRUE,4,,active,FALSE
Maag EQ2,,,,Maag,https://www.plugin-alliance.com/en/products/maag_eq2.html,https://imgs.search.brave.com/KWoQHwlFNJAYMkCH19j-KlYEhTImKyr6ifyD3_2wfJk/rs:fit:1200:771:1/g:ce/aHR0cHM6Ly9maWxl/cy5wbHVnaW4tYWxs/aWFuY2UuY29tL3By/b2R1Y3RzL21hYWdf/ZXEyL2ltYWdlcy9j/YXJvdXNlbC9tYWFn/LWVxMi0wMS5wbmc,TRUE,4,,active,FALSE
Melodyne,,,,celemony,https://www.celemony.com/en/start,https://static.kvraudio.com/i/b/melodyne_editor.1295362335.jpg,TRUE,4,,active,FALSE
Mini V3,,,,Arturia,https://www.arturia.com/products/software-instruments/mini-v/overview,https://www.16sounds.com/ImageGen.ashx?image=/images/plugins/Mini.jpg&compression=70,FALSE,3,,active,FALSE
MJUC,,,,Klanghelm,https://klanghelm.com/contents/products/MJUC.html,https://klanghelm.com/assets/img/MJUC/MJUC1.jpg,TRUE,4,"MJUC is the most effortful Klanghelm plugin to date. It took almost two years of extensive, dare I say ""excessive"", research and development. To create MJUC I've researched and analyzed each and every variable-mu* implementation I could get my hands on to get the best of tube compression into a single processor. In order to do the diversity of this compression topology justice, three different models have been built. These are kind of a time travel though the history of tube compression to capture the essence of each generation. Each model has its own dedicated signal path and dedicated control set. If desired you can tweak the overall tone and saturation of each model with the unique TIMBRE and the DRIVE knob. DRIVE controls the load of the input and output transformers as well as the saturation of the tube gain stages, if applicable. The TIMBRE extends MJUC's use as a tone shaper. ",active,TRUE
Monique,,,,Monoplugs,https://www.producersphere.com/monoplugs-monique-free-vst-synth/,https://www.producersphere.com/wp-content/uploads/2020/10/Monoplugs-Monique-1-free-plugin-synth.png?ezimgfmt=ng%3Awebp%2Fngcb1%2Frs%3Adevice%2Frscb1-1,FALSE,3,"Monique is a monophonic subtractive VST synthesizer with an impressive range of on-board effects and modulation options.

Monoplugs’ other plugin, the B-Step Sequencer, is also available for free. ",active,FALSE
Nectar 3 Elements,,,,Izotope,https://www.izotope.com/en/products/nectar/features.html,https://www.izotope.com/en/products/nectar/features/_jcr_content/root/flexcontainer/sectioncontainer/flexcontainer/flexcontainer/image_copy.coreimg.82.1280.jpeg/1643230351894/nectar-3-module-equalizer.jpeg,FALSE,3,,active,FALSE
NEOLD BIG AL,,,,NEOLD,https://www.neold.com/big-al,https://www.themusictelegraph.com/imgdata/themusictelegraph_com/202102/2021020927093745.jpeg,TRUE,4,,active,FALSE
NEOLD V76U73,,,,NEOLD,https://www.neold.com/v76u73,https://happymag.tv/wp-content/uploads/2020/08/NEOLD-V76U73-hardware.jpg,TRUE,5,,active,FALSE
NEOLD WARBLE,,,,NEOLD,https://www.plugin-alliance.com/en/products/neold_warble.html,https://nulldown.com/wp-content/uploads/2021/12/Screen-Shot-2021-11-17-at-16.jpg,TRUE,4,,active,FALSE
Neutron 3 Visual Mixer,,,,Izotope,https://www.izotope.com/en/products/visual-mixer.html,https://www.izotope.com/content/izotope/en/learn/rethinking-audio-production-with-neutron-3-visual-mixer/jcr%3acontent/root/sectioncontainer_main/flexcontainer/flexcontainer_center/flexcontainer_center_top/image.coreimg.82.1280.png/1590860040668.png,FALSE,3,,active,FALSE
Neutron 3,,,,Izotope,https://www.izotope.com/en/products/neutron.html,https://www.audiodeluxe.com/sites/default/files/products/neutron_3_standard_exciter.png,FALSE,3,,active,FALSE
Ozone 9,,,,Izotope,https://www.izotope.com/en/products/ozone.html,https://www.izotope.com/en/products/ozone/_jcr_content/root/flexcontainer/sectioncontainer_186/flexcontainer/teaser/image.coreimg.82.1280.png/1652997182173/standard-master-assistant.png,TRUE,5,,active,TRUE
PreBOX,,,,Analog Obsession,https://www.patreon.com/posts/prebox-36362672,https://c10.patreonusercontent.com/4/patreon-media/p/post/36362672/3a8cac36eede4e349b05b0698492733a/eyJ3Ijo2MjB9/1.png?token-time=1657843200&token-hash=iXpnzxS-z8W78_2MazFFQzvDaznPAm-VWbUGen_cFKU%3D,FALSE,3,"Ultimate preamp - distortion box is fully updated from scratch, now!

FEATURES

- 11 Selectable Preamp Models

- +/- 24dB Input Gain with AGC

- +/- 24dB Output

- Selectable HPF (FLAT - 80Hz - 300Hz - 300+80Hz)

- Selectable LPF (FLAT - 3kHz)

- ANALOG OBSESSION (Label) will engage 4x Oversampling",active,TRUE
PREDD,,,,Analog Obsession,https://www.patreon.com/posts/predd-57672680,https://c10.patreonusercontent.com/4/patreon-media/p/post/57672680/0737ccc356844200b628ec01a5dbe858/eyJ3Ijo2MjB9/1.png?token-time=1657843200&token-hash=IJyVGVTlYHO8dkQPTOww_ojmXgEh04AZZYI5m_1XOw4%3D,FALSE,3,"Vintage Mic Preamp / DI

Features

- MIC/DI : Will select input section. Mic preamp or DI input.

- PAD : -20dB PAD. Fully gain compensated.

- POLE : Phase invert

- VOLTAGE GAIN : Selectable main gain knob. Fully gain compensated.

- FINE GAIN SET : Variable +/- 5dB gain for fine settings. Fully gain compensated.

- OUTPUT : Main output knob.

- RUMBLE FILTER : 20 to 180Hz Highpass Filter.

- HF : 10dB high boost

- ANALOG OBSESSION : Oversampling",active,TRUE
PianoVerb,,,,PSP Audioware,https://www.pspaudioware.com/products/psp-pianoverb,https://1.bp.blogspot.com/--st9G2XKIdQ/UWHBF6VyNPI/AAAAAAAAAG8/d-1jSEwmEIA/s1600/PSP_PianoVerb2.jpg,FALSE,3,,active,FALSE
Regressif,,,,iNear Display,https://www.ineardisplay.com/plugins/regressif/,https://www.ineardisplay.com/assets/Regressif/Regressif.png,FALSE,3,"Regressif is an audio plugin focused on sound degradation. Combining a multimode filter with distortion, samplerate reduction and bitcrushing effects, it can turn the most innocent sound into a wall of digital noise. Two LFO modules and an additional LFO mixer can then be brought into the mix to further mutilate your audio.

These functions are wrapped in a clean and easy to use interface : each module is clearly delimited and color coded, and the modulations can be assigned simply by dragging nodes. This playful interface allows to quickly create new patches or tweak one of the built-in presets. And if the supplied presets are not enough, Regressif also packs a randomizer for instant inspiration.",active,FALSE
Relay,,,,Izotope,https://www.izotope.com/en/products/insight/features/relay.html,https://www.izotope.com/en/products/insight/features/relay/_jcr_content/root/flexcontainer/sectioncontainer_cop/flexcontainer/flexcontainer_1739674494/image.coreimg.82.1280.jpeg/1641329684991/nectar-3-plugin-relay.jpeg,FALSE,3,,active,FALSE
Rev PLATE-140,,,,Arturia,https://www.pluginboutique.com/product/2-Effects/17-Reverb/6637-Rev-PLATE-140,https://www.pluginboutique.com//system/resources/srcs/000/061/891/original/rev_plate_140_pluginboutique.jpg?1627484216,FALSE,4,,active,FALSE
RomPlay 2,,,,Electronik Sound Lab,https://electroniksoundlab.com/free-stuff/,https://electroniksoundlab.com/wp-content/uploads/2020/06/ROMPLAY-2.png,TRUE,5,"Romplay 2 is a simple sound module that contains 144 high quality Presets, covering different categories such as Keys, Leads, FX, Textures and Synthesizers. use this module to capture quick ideas or for final projects.

Features:

Windows & Mac
32 | 64 bit
144 Presets for Electronic music.
LFO Modulation Controls.
Poly | Mono | Legato Mode
Glide Time ( Only on Mono & Legato Mode)
ADSR
Reverb
Catalina Support",active,FALSE
RT-7070,,,,Electronik Sound Lab,https://electroniksoundlab.com/free-stuff/,https://electroniksoundlab.com/wp-content/uploads/2020/05/RT-7070.png,FALSE,3,"RT-7070 is a VST3/VST/AU drum rompler for Windows & Mac, inspired by the classic TR-707, containing 20 drum kits: One original 707 and 19 kits, treated with an arsenal of modern and vintage dynamic processors and effects, to give you maximum variety.

Original kit recorded by our friend Ala@n Valdez

Features:

LP/HP Filter.
20 Drum kits.
Reverb.
Main Decay.
Pan controls on each channel.
Volume mixer.
Assignable Outputs.
100% royalty free.
macOS Catalina Support.",active,FALSE
RVK-808,,,,Electronik Sound Lab,https://electroniksoundlab.com/free-stuff/,https://electroniksoundlab.com/wp-content/uploads/2020/05/RVK-808.png,FALSE,3,"RVK-808 (KVR DC16) is a VST/AU drum ROMpler for Windows & Mac inspired by the classic TR-808.

Features:

272 quality samples.
17 drum kits.
Assignable outputs.
macOS Catalina Support",active,FALSE
RX 8 De-click,,,,Izotope,https://www.izotope.com/en/products/rx/features/mouth-de-click.html,https://www.izotope.com/en/products/rx/features/mouth-de-click/_jcr_content/root/flexcontainer/sectioncontainer_cop/flexcontainer/flexcontainer_1739674494/image.coreimg.82.1280.png/1634136501229/mouth-de-click%402x.png,TRUE,5,,active,FALSE
RX 8 De-clip,,,,Izotope,https://www.izotope.com/en/products/rx/features/de-clip.html,https://www.izotope.com/en/products/rx/features/de-clip/_jcr_content/root/flexcontainer/sectioncontainer_cop/flexcontainer/flexcontainer_1739674494/image.coreimg.82.1280.png/1641332120758/2a-de-clip-module.png,TRUE,5,,active,FALSE
RX 8 De-hum,,,,Izotope,https://www.izotope.com/en/products/rx/features/de-hum.html,https://www.izotope.com/en/products/rx/features/de-hum/_jcr_content/root/flexcontainer/sectioncontainer_cop/flexcontainer/flexcontainer_1739674494/image_1617413457.coreimg.82.1280.png/1641332359442/rx-9-adv-de-hum-ui-2x.png,TRUE,5,,active,FALSE
RX 8 Voice De-noise,,,,Izotope,https://www.izotope.com/en/products/rx/features/voice-de-noise.html,https://www.izotope.com/en/products/rx/features/voice-de-noise/_jcr_content/root/flexcontainer/sectioncontainer_cop/flexcontainer/flexcontainer_1739674494/image.coreimg.82.1280.png/1641330977009/voice-de-noise%402x.png,TRUE,5,,active,FALSE
Schoeps Double MS,,,,SCHOEPS,https://www.plugin-alliance.com/en/products/schoeps_double_ms.html,https://imgs.search.brave.com/DkiVsGAQFNzX643zeE_KOp4pkxcmahkkaIlibOCCKeM/rs:fit:1024:513:1/g:ce/aHR0cHM6Ly9pbWcu/YXVkaW9mYW56aW5l/LmNvbS9pbWFnZXMv/dS9wcm9kdWN0L25v/cm1hbC9zY2hvZXBz/LWRvdWJsZS1tcy0y/NzQ1MzEuanBn,FALSE,3,,active,FALSE
Sensuous,,,,Fabric 70,https://www.looperman.com/free-music-software/detail/fabric-70-sensuous,https://www.looperman.com/media/software/0001241/looperman-software-0001241-main.jpg,FALSE,3,"Sensuous is a monophonic synthesizer with wave shaper and oscillator modulation.

Modulation source = velocity, aftertouch, 3 controllers, 3 envelopes, 3 LFOs give you access to all parameters.",active,FALSE
Seventh Heaven,,,,LiquidSonics,https://www.liquidsonics.com/software/seventh-heaven/?v=7516fd43adaa,https://www.liquidsonics.com/wp-content/uploads/2019/06/Seventh-Heaven-Title-Shot.jpg,TRUE,4,,active,FALSE
Shadow Hills Mastering Compressor,,,,Brainworx,https://www.plugin-alliance.com/en/products/shadow_hills_mastering_compressor.html,https://i.ebayimg.com/images/g/aTAAAOSwepleFhwj/s-l400.jpg,FALSE,3,,active,FALSE
SIENNA GURU FREE,,,,Acoustica Audio,https://www.acustica-audio.com/pages/specials/sienna-free,https://www.acustica-audio.com/pictures/W1siZiIsIjIwMjEvMDcvMDYvZ2ZoOGc0MHVvX0ltYWdlMjAyMTA3MDYxNDIxMDgucG5nIl1d/Image20210706142108.png?sha=f96c24d078ac7ab6,FALSE,3,,active,FALSE
SIENNA ROOMS FREE,,,,Acoustica Audio,https://www.acustica-audio.com/pages/specials/sienna-free,https://www.acustica-audio.com/pictures/W1siZiIsIjIwMjEvMDcvMDYvZ2ZoOGc0MHVvX0ltYWdlMjAyMTA3MDYxNDIxMDgucG5nIl1d/Image20210706142108.png?sha=f96c24d078ac7ab6,FALSE,3,,active,FALSE
SILVER,,,,Acoustica Audio,https://www.acustica-audio.com/store/t/acqua/fx/reverb/silver,https://www.acustica-audio.com/spree/products/1860/original/SILVER_AQW.png?1632221060,FALSE,3,,active,FALSE
